"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"Alto do Rodrigues","RN",100,33.3,50.1,38.62
"Itambé","PR",88.9,55.6,49.27,60.93
"Nazaré","BA",72.7,9.1,48.49,14.44
"Itaguatins","TO",77.8,11.1,51.48,16.44
"Guapimirim","RJ",88.9,33.3,49.1,38.65
"Mirante da Serra","RO",100,33.3,50.93,38.66
"Ivinhema","MS",90.9,45.5,50.44,50.86
"Barcelona","RN",77.8,33.3,51.14,38.66
"Palmeirópolis","TO",88.9,22.2,50.47,27.57
"Garrafão do Norte","PA",90.9,9.1,52.36,14.52
"Alegrete do Piauí","PI",100,33.3,49.6,38.72
"Cajari","MA",90.9,9.1,51.85,14.55
"Redenção do Gurguéia","PI",77.8,11.1,50.27,16.55
"Almenara","MG",92.3,23.1,50.38,28.56
"Santana","BA",90.9,27.3,50.71,32.76
"Teófilo Otoni","MG",84.2,21.1,47.84,26.57
"Serra Nova Dourada","MT",100,22.2,54.43,27.69
"Novo Jardim","TO",77.8,11.1,51.97,16.61
"Manari","PE",100,18.2,50.48,23.72
"São Bento do Trairí","RN",88.9,33.3,49.68,38.82
"Porto do Mangue","RN",77.8,22.2,52.33,27.74
"Teodoro Sampaio","BA",88.9,0,48.84,5.54
"Massaranduba","PB",88.9,33.3,48.4,38.84
"Trairão","PA",90.9,18.2,54.2,23.75
"Barro Duro","PI",66.7,11.1,48.89,16.66
"Irauçuba","CE",81.8,18.2,50.83,23.76
"Jandaia","GO",88.9,33.3,51.51,38.87
"Coração de Jesus","MG",100,18.2,50.64,23.78
"Sanclerlândia","GO",100,44.4,50.9,49.99
"Cocal dos Alves","PI",88.9,33.3,50.2,38.91
"Plácido de Castro","AC",72.7,18.2,52.29,23.83
"Beneditinos","PI",66.7,11.1,50.59,16.74
"Conde","BA",100,9.1,50.1,14.75
"Itinga do Maranhão","MA",81.8,18.2,50.63,23.87
"Iguaba Grande","RJ",100,45.5,48.34,51.19
"Nova Belém","MG",88.9,22.2,50.83,27.89
"Santa Rosa do Piauí","PI",88.9,11.1,50.15,16.8
"Galvão","SC",77.8,66.7,49.54,72.41
"Santa Maria das Barreiras","PA",81.8,18.2,55.2,23.91
"Axixá","MA",100,11.1,51.04,16.83
"Pindobaçu","BA",100,18.2,51.33,23.93
"Madalena","CE",90.9,18.2,50.22,23.94
"Patrocínio Paulista","SP",77.8,55.6,50.74,61.35
"Belém de Maria","PE",55.6,33.3,49.63,39.06
"Itambé","BA",90.9,18.2,50.17,23.97
"Cordisburgo","MG",88.9,22.2,51.17,27.98
"Itaporã do Tocantins","TO",88.9,22.2,52.56,27.98
"Poço Redondo","SE",81.8,18.2,51.06,23.98
"Turvelândia","GO",77.8,22.2,53.15,27.98
"Guaiúba","CE",72.7,18.2,50.39,23.98
"Sulina","PR",100,77.8,50.47,83.59
"Tupã","SP",93.3,60,48.42,65.8
"Taguatinga","TO",88.9,11.1,52.38,16.92
"Pesqueira","PE",86.7,26.7,48.65,32.53
"Areia Branca","SE",81.8,18.2,50.38,24.04
"Orizona","GO",100,55.6,51.67,61.45
"Granja","CE",84.6,15.4,50.74,21.26
"Monteiro Lobato","SP",88.9,66.7,52.18,72.57
"Padre Bernardo","GO",84.6,23.1,50.57,28.97
"Ponte Alta do Tocantins","TO",88.9,11.1,54.03,16.98
"Nova Ibiá","BA",88.9,11.1,52.53,17
"Pilões","PB",100,22.2,50.4,28.1
"Taquarana","AL",90.9,27.3,48.56,33.2
"Araguaiana","MT",100,22.2,51.2,28.12
"Gaúcha do Norte","MT",100,33.3,54.71,39.23
"Berilo","MG",77.8,11.1,51.08,17.05
"Montes Claros","MG",87,26.1,48.15,32.06
"São José dos Basílios","MA",77.8,11.1,50.12,17.09
"Belo Monte","AL",88.9,33.3,50.5,39.3
"Erval Seco","RS",66.7,66.7,49.76,72.7
"Pedro Canário","ES",90.9,18.2,50.02,24.21
"Serra Alta","SC",66.7,77.8,49.74,83.81
"Colônia Leopoldina","AL",63.6,27.3,50.32,33.36
"Santa Luzia do Itanhy","SE",100,11.1,51.31,17.2
"Mairi","BA",90.9,18.2,49.44,24.32
"Rio Formoso","PE",100,18.2,50.23,24.34
"Humaitá","RS",66.7,77.8,48.53,83.94
"Sebastião Leal","PI",77.8,22.2,52.26,28.35
"Catuji","MG",100,11.1,50.13,17.26
"Jaru","RO",100,26.7,50,32.87
"Bonfinópolis de Minas","MG",66.7,22.2,50.76,28.37
"Lagoa d'Anta","RN",100,33.3,50.3,39.51
"Santa Bárbara do Leste","MG",88.9,33.3,51.05,39.55
"Glória de Dourados","MS",77.8,44.4,49.3,50.66
"Amajari","RR",88.9,0,53.52,6.26
"Barro Alto","GO",77.8,33.3,51.73,39.57
"Uruçuí","PI",36.4,18.2,49.18,24.48
"Faro","PA",77.8,11.1,51.85,17.4
"Angical","BA",100,22.2,53.01,28.52
"Pau Brasil","BA",100,11.1,50.64,17.43
"Manaquiri","AM",81.8,9.1,51.51,15.45
"Igarapé do Meio","MA",55.6,11.1,50.58,17.49
"Riacho dos Cavalos","PB",88.9,44.4,51.02,50.79
"Cairu","BA",100,9.1,51,15.5
"Tapurah","MT",88.9,44.4,58.3,50.81
"Vista Serrana","PB",77.8,55.6,51.85,62.02
"Cordeirópolis","SP",66.7,66.7,50.28,73.13
"Ibirataia","BA",100,9.1,49.83,15.55
"Itapitanga","BA",77.8,11.1,50.73,17.57
"Nova Crixás","GO",100,22.2,52.18,28.67
"Carira","SE",72.7,27.3,49.83,33.78
"Douradina","PR",100,55.6,50.64,62.12
"Caridade","CE",90.9,18.2,50.57,24.73
"Guairaçá","PR",77.8,44.4,50.12,50.94
"Aurora","CE",81.8,27.3,49.76,33.86
"Taguaí","SP",88.9,77.8,49.73,84.37
"Barão de Melgaço","MT",100,11.1,54.46,17.69
"Sarandi","RS",81.8,72.7,48.25,79.3
"Barreiras","BA",84.2,21.1,49.42,27.7
"Estrela do Norte","SP",88.9,44.4,51.54,51.02
"Acarape","CE",100,11.1,49.36,17.74
"Itapissuma","PE",100,18.2,50.52,24.84
"Bayeux","PB",82.4,29.4,47.87,36.04
"Cariús","CE",63.6,36.4,50.27,43.05
"Santana de Parnaíba","SP",88.2,52.9,49.32,59.56
"Pilõezinhos","PB",100,22.2,49.33,28.88
"Nova Colinas","MA",100,11.1,53.22,17.79
"Serra do Salitre","MG",88.9,44.4,51.4,51.09
"Bequimão","MA",90.9,27.3,50.87,34.02
"Peixe","TO",77.8,11.1,52.26,17.83
"São Francisco do Conde","BA",92.3,0,48.83,6.75
"Rosário do Catete","SE",88.9,11.1,48.14,17.85
"São Vicente","SP",100,46.7,48.03,53.47
"Saloá","PE",90.9,27.3,48.23,34.08
"Limoeiro do Norte","CE",86.7,40,49.01,46.79
"São João das Missões","MG",77.8,0,51.63,6.79
"Rondon do Pará","PA",92.3,15.4,51.69,22.2
"Nazaré","TO",88.9,11.1,51.57,17.9
"Sertãozinho","PB",77.8,22.2,48.76,29.01
"Santa Maria","RN",77.8,22.2,50.8,29.06
"Pio XII","MA",81.8,18.2,49.98,25.08
"Vargem Bonita","SC",66.7,55.6,50.66,62.49
"Gália","SP",77.8,55.6,50.01,62.5
"Santana do Riacho","MG",77.8,22.2,50.16,29.11
"Canarana","BA",90.9,18.2,50.38,25.12
"Santa Helena de Minas","MG",88.9,11.1,50.47,18.03
"Godofredo Viana","MA",77.8,11.1,52.34,18.03
"Timbiras","MA",90.9,9.1,50.33,16.05
"Iracema","RR",88.9,11.1,52.9,18.05
"Pilões","RN",66.7,33.3,50.07,40.25
"Campos Novos","SC",100,66.7,49.53,73.66
"Mirador","MA",90.9,18.2,51.12,25.16
"Calumbi","PE",44.4,22.2,48.19,29.16
"Floriano","PI",92.9,14.3,47.34,21.29
"Piúma","ES",90.9,45.5,49.42,52.51
"Vale do Anari","RO",88.9,22.2,53.06,29.26
"São João da Ponte","MG",81.8,18.2,51.75,25.27
"Belágua","MA",100,11.1,52.47,18.18
"Almadina","BA",66.7,11.1,50.34,18.18
"Bom Jesus do Araguaia","MT",100,22.2,53.74,29.28
"São João","PE",81.8,27.3,48.99,34.39
"Alto Santo","CE",100,27.3,50.23,34.4
"Divinópolis de Goiás","GO",66.7,11.1,52.3,18.2
"Cascavel","CE",90,20,49.72,27.11
"Bacabeira","MA",90.9,18.2,50.32,25.35
"Zé Doca","MA",100,13.3,49.62,20.46
"Catuípe","RS",100,77.8,49.23,84.99
"São Miguel","RN",72.7,54.5,47.71,61.71
"Brasiléia","AC",100,18.2,51.58,25.44
"Boca do Acre","AM",100,18.2,52.06,25.46
"Pedro Régis","PB",100,33.3,50.13,40.56
"Santa Inês","MA",70.6,17.6,47.73,24.87
"Pojuca","BA",84.6,7.7,48.62,14.97
"Alagoinha","PE",77.8,33.3,50.24,40.58
"Barro","CE",81.8,27.3,49.4,34.61
"Vitória","ES",93.3,40,46.96,47.32
"Altos","PI",76.9,7.7,49.24,15.04
"Penedo","AL",93.3,20,48.54,27.41
"Novo São Joaquim","MT",88.9,33.3,51.99,40.73
"São João do Pacuí","MG",88.9,11.1,51.53,18.55
"Fernandópolis","SP",76.9,69.2,48.72,76.65
"Aramari","BA",100,0,49.81,7.47
"Paripueira","AL",100,22.2,49.26,29.67
"Saubara","BA",77.8,0,48.94,7.48
"Lagoa do Sítio","PI",88.9,11.1,50.78,18.62
"Murici dos Portelas","PI",88.9,11.1,52.24,18.68
"Presidente Juscelino","MA",77.8,0,52.02,7.59
"Júlio Borges","PI",66.7,0,52.11,7.59
"Nhamundá","AM",100,0,51.95,7.6
"Coluna","MG",88.9,11.1,49.65,18.72
"Romaria","MG",88.9,55.6,51.92,63.29
"Ocara","CE",90.9,18.2,51.31,25.91
"Canarana","MT",100,36.4,51.46,44.15
"Vereda","BA",88.9,22.2,52.41,29.99
"Caiçara do Rio do Vento","RN",55.6,22.2,49.7,29.99
"Iracema","CE",88.9,33.3,49.29,41.12
"Bragança","PA",94.1,5.9,50.6,13.77
"Irará","BA",90.9,0,48.41,7.87
"Eunápolis","BA",100,17.6,49.3,25.48
"Itapé","BA",100,11.1,51.01,19
"Dom Eliseu","PA",86.7,13.3,51.88,21.25
"Eliseu Martins","PI",88.9,11.1,51.49,19.06
"Mucajaí","RR",90.9,9.1,53.17,17.08
"Água Fria","BA",90.9,0,50.24,7.98
"Nova Porteirinha","MG",66.7,22.2,51.2,30.21
"Turmalina","MG",90.9,27.3,50.78,35.32
"Olho d'Água das Flores","AL",100,18.2,47.74,26.24
"Capitão Poço","PA",80,6.7,51.3,14.74
"Novo Gama","GO",93.3,20,49.12,28.06
"Pedras de Fogo","PB",90.9,27.3,49.82,35.36
"Belo Campo","BA",90.9,18.2,50.68,26.26
"Guaraciaba do Norte","CE",76.9,23.1,49.4,31.19
"Wanderlândia","TO",88.9,11.1,51.43,19.19
"Ninheira","MG",100,22.2,51.48,30.32
"Pradópolis","SP",88.9,55.6,51.11,63.73
"Cônego Marinho","MG",88.9,11.1,50.75,19.31
"Araguainha","MT",100,33.3,53.38,41.51
"Pintadas","BA",80,10,50.26,18.21
"Jaíba","MG",92.3,15.4,51.64,23.62
"Amapá","AP",77.8,11.1,52.19,19.32
"Arenápolis","MT",100,22.2,50.32,30.42
"América Dourada","BA",81.8,9.1,50.58,17.34
"Novorizonte","MG",100,22.2,50.15,30.45
"Glaucilândia","MG",100,11.1,50.51,19.38
"Tefé","AM",93.3,6.7,51.29,15.01
"Canindé de São Francisco","SE",100,18.2,49.8,26.52
"Dom Bosco","MG",100,22.2,53.02,30.52
"Luciara","MT",77.8,11.1,51.53,19.42
"Serra Branca","PB",88.9,33.3,48.82,41.63
"Paranã","TO",100,0,52.66,8.36
"Jacuípe","AL",77.8,22.2,51.26,30.57
"Vila Rica","MT",77.8,33.3,52.32,41.67
"Itanhaém","SP",100,50,48.46,58.38
"Crixás do Tocantins","TO",100,11.1,52.49,19.5
"São Gabriel","BA",81.8,18.2,51.28,26.61
"Aurora do Pará","PA",81.8,9.1,51.31,17.52
"Abaetetuba","PA",86.7,13.3,50.77,21.74
"Boninal","BA",88.9,11.1,48.94,19.55
"Bacurituba","MA",88.9,0,51.86,8.46
"Amélia Rodrigues","BA",81.8,0,48.76,8.47
"Jesuítas","PR",77.8,55.6,49.65,64.12
"Japonvar","MG",100,22.2,50.75,30.74
"Laranjal do Jari","AP",88.9,11.1,51.16,19.65
"Riachão","PB",88.9,11.1,49.05,19.66
"Jacaraú","PB",100,33.3,49.62,41.86
"Cansanção","BA",100,15.4,50.32,23.99
"Cafarnaum","BA",90.9,9.1,50.93,17.69
"Inajá","PE",90.9,9.1,50.08,17.7
"Iepê","SP",77.8,66.7,49.54,75.31
"Itajá","RN",88.9,22.2,51.11,30.83
"Santo Antônio do Itambé","MG",100,0,50.01,8.63
"Goiatins","TO",100,11.1,52.11,19.75
"Fátima","BA",90.9,27.3,50.7,35.96
"Floriano Peixoto","RS",77.8,88.9,53.57,97.57
"Barreirinha","AM",81.8,0,52.32,8.69
"Juripiranga","PB",100,22.2,50.1,30.94
"Paratinga","BA",100,7.7,50.6,16.44
"Salgadinho","PB",100,22.2,50.8,30.96
"Nova Timboteua","PA",77.8,11.1,51.81,19.87
"Mormaço","RS",88.9,77.8,50.78,86.58
"São José do Sul","RS",66.7,88.9,50.53,97.69
"Elesbão Veloso","PI",77.8,11.1,49.26,19.91
"Uruçuca","BA",72.7,9.1,49.69,17.91
"Delmiro Gouveia","AL",81.8,18.2,47.93,27.02
"Tururu","CE",88.9,11.1,51.87,19.95
"Arraial","PI",55.6,0,49.4,8.87
"Divinolândia de Minas","MG",88.9,22.2,49.53,31.09
"Jóia","RS",88.9,66.7,51.69,75.59
"Peçanha","MG",100,18.2,49.39,27.1
"Maravilha","AL",77.8,22.2,50.53,31.11
"Águas da Prata","SP",77.8,66.7,49.41,75.62
"Santo Antônio do Leverger","MT",90.9,9.1,53.41,18.11
"São Brás","AL",88.9,22.2,49.63,31.21
"Monteirópolis","AL",100,11.1,48.42,20.12
"Colares","PA",88.9,11.1,51.66,20.13
"Monte Belo do Sul","RS",77.8,88.9,50.37,97.94
"São Sebastião da Boa Vista","PA",100,9.1,51.66,18.14
"Atalaia do Norte","AM",90.9,0,51.82,9.08
"Mutuípe","BA",81.8,9.1,49.41,18.19
"Irituia","PA",92.3,7.7,51.85,16.83
"Barra do Ouro","TO",77.8,11.1,53.24,20.25
"Dário Meira","BA",88.9,11.1,52.4,20.27
"Caldeirão Grande","BA",88.9,11.1,49.25,20.28
"Assis","SP",93.3,66.7,48.68,75.89
"Turilândia","MA",90.9,9.1,50.25,18.29
"Minaçu","GO",92.3,23.1,50.83,32.32
"Barra Longa","MG",100,22.2,49.19,31.42
"Tabaporã","MT",88.9,33.3,53.44,42.53
"Cordeiros","BA",100,22.2,49.56,31.44
"Bagre","PA",90.9,9.1,50.85,18.37
"Caldas Novas","GO",100,40,49.69,49.3
"São Félix do Piauí","PI",66.7,22.2,48.88,31.51
"Santa Cruz Cabrália","BA",90.9,9.1,50.76,18.43
"Benevides","PA",66.7,11.1,49.98,20.43
"Muaná","PA",88.9,11.1,52.35,20.44
"Itaparica","BA",88.9,0,49.05,9.36
"São João de Pirabas","PA",90.9,9.1,52.11,18.47
"Eirunepé","AM",100,15.4,51.46,24.83
"Primavera do Leste","MT",86.7,40,50.87,49.45
"Seropédica","RJ",100,30,49.16,39.46
"Santa Inês","BA",88.9,11.1,49.55,20.58
"São João da Fronteira","PI",66.7,11.1,50.02,20.58
"São Geraldo","MG",66.7,44.4,50.84,53.93
"Coração de Maria","BA",81.8,0,48.4,9.54
"Fartura do Piauí","PI",100,11.1,50.73,20.65
"Girau do Ponciano","AL",88.9,11.1,49.63,20.65
"Floresta Azul","BA",88.9,11.1,51.01,20.65
"São João da Varjota","PI",100,0,49.11,9.57
"Santa Cruz dos Milagres","PI",100,0,49.66,9.57
"Presidente Tancredo Neves","BA",90.9,9.1,51.21,18.69
"Iraquara","BA",90.9,9.1,49.75,18.72
"Córrego Novo","MG",77.8,22.2,49.73,31.82
"Paracambi","RJ",100,33.3,50.49,42.93
"Moju","PA",66.7,6.7,52.37,16.35
"Jaguarari","BA",100,15.4,50.88,25.06
"Aruanã","GO",100,22.2,52.31,31.88
"Faxinalzinho","RS",88.9,66.7,49.98,76.43
"São Caetano de Odivelas","PA",100,9.1,52.13,18.84
"Maquiné","RS",88.9,77.8,51.02,87.63
"Pedro do Rosário","MA",63.6,0,52.07,9.83
"Vila Pavão","ES",88.9,44.4,51.81,54.26
"Baixo Guandu","ES",84.6,30.8,48.9,40.67
"Antônio Gonçalves","BA",66.7,11.1,50.59,20.99
"Ouro Branco","MG",88.9,33.3,49.84,43.21
"Rodrigues Alves","AC",100,11.1,51.98,21.02
"Itaipulândia","PR",88.9,66.7,50.4,76.62
"Glória","BA",90.9,18.2,50.01,28.13
"Poço de José de Moura","PB",77.8,22.2,48.59,32.15
"Domingos Mourão","PI",66.7,22.2,50.56,32.15
"Manoel Emídio","PI",77.8,11.1,51.81,21.06
"Cacoal","RO",91.7,33.3,49.79,43.26
"Carrapateira","PB",88.9,55.6,52.44,65.56
"Tabocas do Brejo Velho","BA",88.9,22.2,51.96,32.18
"Vila Nova do Piauí","PI",77.8,33.3,51.24,43.3
"Dom Basílio","BA",100,44.4,51.7,54.41
"Guapiara","SP",90.9,45.5,50.86,55.51
"São Félix do Tocantins","TO",66.7,0,53.58,10.02
"Bujari","AC",77.8,11.1,53.94,21.12
"Miraí","MG",100,44.4,50.29,54.42
"Queimadas","PB",84.6,30.8,48.57,40.83
"Cumaru do Norte","PA",88.9,11.1,58.1,21.14
"Axixá do Tocantins","TO",88.9,11.1,49.6,21.15
"Alto Horizonte","GO",55.6,22.2,52.19,32.25
"Riachão do Poço","PB",88.9,33.3,50.1,43.35
"Virginópolis","MG",88.9,22.2,49.33,32.3
"Iporá","GO",100,38.5,48.93,48.6
"Potiraguá","BA",88.9,11.1,51.64,21.24
"Parari","PB",100,44.4,49.44,54.54
"Santo Antônio do Retiro","MG",88.9,22.2,50.7,32.34
"Cristino Castro","PI",77.8,11.1,50.46,21.25
"Tracuateua","PA",81.8,0,52.19,10.16
"Porto Estrela","MT",100,11.1,52.15,21.27
"Jaguaripe","BA",81.8,0,51.31,10.17
"Milagres","CE",100,18.2,49.18,28.39
"Morro do Pilar","MG",77.8,11.1,50.28,21.3
"Tucumã","PA",92.3,23.1,51.91,33.33
"Brasília de Minas","MG",76.9,15.4,49.95,25.64
"Ipiaú","BA",84.6,7.7,49.18,17.97
"Santa Maria do Cambucá","PE",100,33.3,49.72,43.57
"Alto Paraíso de Goiás","GO",100,22.2,49.5,32.48
"Peri Mirim","MA",88.9,22.2,50.63,32.51
"Epitaciolândia","AC",88.9,11.1,50.5,21.43
"Arujá","SP",86.7,46.7,49.31,57.04
"Bocaiúva","MG",92.3,15.4,50.08,25.74
"Santana do São Francisco","SE",100,11.1,50.26,21.44
"Itambacuri","MG",90.9,9.1,48.37,19.45
"Goiatuba","GO",92.3,46.2,49.92,56.57
"Carmópolis","SE",88.9,11.1,49.4,21.48
"Cachoeira","BA",84.6,0,48.25,10.38
"Águas Frias","SC",88.9,66.7,52.76,77.1
"Feira de Santana","BA",90.5,9.5,47.43,19.92
"Itaju do Colônia","BA",88.9,11.1,50.61,21.55
"Itaú de Minas","MG",88.9,66.7,49.53,77.16
"Buritizeiro","MG",81.8,9.1,50.25,19.56
"Campo Grande do Piauí","PI",66.7,11.1,50.77,21.57
"Soledade","PB",88.9,33.3,49.28,43.77
"Centro do Guilherme","MA",100,11.1,52.85,21.58
"Tanquinho","BA",88.9,0,49.66,10.48
"Bertópolis","MG",100,11.1,53,21.59
"São Félix de Balsas","MA",66.7,11.1,52.19,21.59
"Pereiro","CE",81.8,27.3,49.26,37.81
"Jeremoabo","BA",76.9,15.4,50.47,25.92
"Paulo Ramos","MA",81.8,9.1,50.44,19.64
"São José da Safira","MG",77.8,11.1,49.74,21.64
"Datas","MG",100,11.1,48.95,21.68
"Babaçulândia","TO",66.7,11.1,53.15,21.68
"Nova Iorque","MA",88.9,11.1,50.78,21.72
"Grossos","RN",77.8,22.2,50.7,32.83
"Frecheirinha","CE",88.9,22.2,49.1,32.9
"Lajeado","TO",77.8,22.2,52.79,32.92
"Maraú","BA",90.9,0,52.75,10.74
"Santo Amaro das Brotas","SE",100,11.1,49.18,21.86
"Palhano","CE",88.9,22.2,50.42,32.96
"Quixeré","CE",72.7,27.3,50,38.08
"Corbélia","PR",100,63.6,48.88,74.39
"Canaã dos Carajás","PA",84.6,15.4,50.85,26.21
"Jaboatão dos Guararapes","PE",96.3,25.9,47.29,36.71
"Santo Afonso","MT",100,22.2,54.43,33.03
"Aragoiânia","GO",100,33.3,50.99,44.14
"Ponte Alta do Bom Jesus","TO",88.9,0,52.93,10.85
"Pacatuba","SE",77.8,11.1,50.9,21.95
"Cachoeira do Sul","RS",86.7,73.3,48.17,84.16
"Conceição do Jacuípe","BA",76.9,0,48.33,10.86
"Primavera","PA",100,11.1,51.62,21.96
"Martinho Campos","MG",88.9,44.4,50.54,55.29
"Cachoeira do Arari","PA",63.6,0,51.58,10.91
"Barro Preto","BA",66.7,0,51.23,10.93
"Várzea Nova","BA",88.9,11.1,50.65,22.05
"Lagoa do Mato","MA",77.8,11.1,51.3,22.06
"Brejetuba","ES",100,33.3,52.13,44.26
"Pacoti","CE",55.6,11.1,50.4,22.09
"Acajutiba","BA",100,11.1,49.19,22.1
"Macururé","BA",100,11.1,49.56,22.1
"São João do Caru","MA",63.6,9.1,51.5,20.1
"Desterro","PB",88.9,22.2,48.72,33.2
"Tacaimbó","PE",66.7,33.3,49.16,44.33
"Colinas do Sul","GO",100,11.1,52.17,22.14
"Ribeira do Pombal","BA",100,21.4,49.19,32.46
"Jatobá do Piauí","PI",100,0,52.04,11.15
"Penalva","MA",61.5,0,50.79,11.15
"Uruará","PA",92.3,15.4,52.77,26.56
"Muribeca","SE",100,11.1,50.18,22.26
"Santa Terezinha de Goiás","GO",66.7,22.2,51.07,33.41
"Dianópolis","TO",90.9,9.1,50.64,20.31
"Inhangapi","PA",88.9,0,51.51,11.23
"Guarinos","GO",88.9,22.2,53.28,33.45
"Santa Rosa de Goiás","GO",88.9,55.6,49.91,66.96
"Paulista","PE",93.3,26.7,47.14,38.08
"Pedra","PE",81.8,18.2,50,29.59
"Serra do Ramalho","BA",90.9,9.1,51.76,20.5
"Itapiratins","TO",88.9,11.1,54.16,22.51
"Carmo do Rio Verde","GO",100,33.3,50.93,44.75
"Bonfinópolis","GO",88.9,33.3,50.12,44.76
"Ibotirama","BA",81.8,9.1,50.35,20.61
"Castanheira","MT",55.6,33.3,52.79,44.83
"Tupanatinga","PE",90.9,18.2,49.6,29.74
"Mantenópolis","ES",90.9,18.2,49.99,29.74
"Mallet","PR",88.9,77.8,51.64,89.34
"Timon","MA",90.5,4.8,48.6,16.39
"Bacabal","MA",88.2,11.8,47.75,23.39
"Xique-Xique","BA",84.6,7.7,49.43,19.29
"Rio Largo","AL",72.7,18.2,48.63,29.79
"Taiobeiras","MG",92.3,23.1,48.9,34.7
"Borrazópolis","PR",100,55.6,49.92,67.21
"Cabeceiras do Piauí","PI",44.4,0,51.31,11.61
"Ponto Novo","BA",81.8,9.1,50.34,20.72
"Vieiras","MG",100,44.4,50.92,56.02
"Vieirópolis","PB",77.8,33.3,50.31,44.94
"Santa Cruz da Baixa Verde","PE",88.9,22.2,49.39,33.86
"Nova Módica","MG",88.9,11.1,50.21,22.77
"Luislândia","MG",100,11.1,51.45,22.8
"União do Oeste","SC",88.9,66.7,50.69,78.42
"Nazareno","MG",100,33.3,51.77,45.06
"Ruy Barbosa","RN",66.7,11.1,51.04,22.89
"Careiro","AM",84.6,7.7,51.9,19.5
"Lagoa do Piauí","PI",88.9,0,51.51,11.83
"João Alfredo","PE",76.9,30.8,48.37,42.65
"Óbidos","PA",100,7.7,51.82,19.55
"Umirim","CE",81.8,9.1,51.28,20.96
"Madre de Deus","BA",72.7,0,48.21,11.87
"Maraã","AM",90.9,0,53.67,11.88
"Nova Itarana","BA",77.8,11.1,50.72,23
"Valparaíso de Goiás","GO",76.9,23.1,48.6,35.08
"Nova União","RO",66.7,22.2,53.37,34.19
"Igarapé","MG",84.6,23.1,50.27,35.1
"Tanhaçu","BA",81.8,27.3,50.32,39.32
"São Domingos do Capim","PA",100,0,52.74,12.05
"Esperança","PB",92.3,30.8,48.74,42.88
"Andaraí","BA",88.9,0,51.44,12.11
"Aliança","PE",72.7,18.2,49.66,30.32
"Conceição do Tocantins","TO",88.9,0,50.98,12.15
"Itacaré","BA",100,0,52.21,12.2
"Janduís","RN",88.9,22.2,49.58,34.41
"Padre Carvalho","MG",100,11.1,50.96,23.31
"Gongogi","BA",100,0,50.68,12.23
"Paraú","RN",55.6,22.2,49.88,34.44
"São José do Barreiro","SP",100,55.6,50.21,67.84
"Fátima","TO",88.9,11.1,50.17,23.36
"Santa Cruz do Arari","PA",77.8,0,50.79,12.26
"Várzea Branca","PI",100,11.1,50.84,23.37
"Alto Rio Novo","ES",100,22.2,50.21,34.48
"Areia","PB",72.7,18.2,48.97,30.48
"Santa Luzia do Norte","AL",100,11.1,48.9,23.39
"Guajará-Mirim","RO",100,9.1,50.29,21.41
"Pavão","MG",77.8,11.1,50.6,23.41
"Manoel Vitorino","BA",100,22.2,51,34.55
"Senador Alexandre Costa","MA",88.9,0,49.94,12.36
"Heliodora","MG",100,66.7,50.92,79.07
"Muritiba","BA",90.9,0,47.5,12.39
"Taciba","SP",88.9,44.4,50.07,56.79
"Barão de Grajaú","MA",90.9,9.1,50.09,21.51
"Aurelino Leal","BA",88.9,0,50.26,12.42
"Caapiranga","AM",88.9,0,52.96,12.47
"Major Isidoro","AL",81.8,18.2,49.04,30.67
"Jaguaquara","BA",86.7,13.3,49.09,25.8
"Arapoema","TO",100,11.1,51.13,23.61
"Ananindeua","PA",92,12,48.02,24.51
"Nortelândia","MT",88.9,11.1,51.43,23.63
"Fortaleza do Tabocão","TO",88.9,11.1,51.01,23.65
"Lago Verde","MA",72.7,9.1,50.15,21.65
"Maranguape","CE",94.7,15.8,49.86,28.39
"Independência","CE",90.9,27.3,49.82,39.9
"São Joaquim de Bicas","MG",90.9,18.2,53.81,30.81
"Mucurici","ES",100,11.1,50.77,23.73
"Ouro Verde de Minas","MG",77.8,11.1,50.17,23.75
"Moreno","PE",90.9,18.2,48.79,30.91
"Casa Nova","BA",80,20,50.96,32.71
"Matutina","MG",77.8,66.7,49.24,79.42
"Dois Riachos","AL",88.9,11.1,50.13,23.82
"Pacatuba","CE",93.3,13.3,49.24,26.03
"Vargem Alegre","MG",77.8,22.2,51,34.95
"Santo André","PB",88.9,33.3,50.68,46.06
"Estrela do Norte","GO",77.8,22.2,51.81,35
"Ribeira do Piauí","PI",77.8,0,50.15,12.83
"Uruana","GO",100,33.3,50.67,46.13
"Santo Antônio do Jacinto","MG",100,11.1,51.18,23.95
"Brejinho de Nazaré","TO",66.7,0,50.13,12.86
"Corumbá de Goiás","GO",88.9,22.2,52.26,35.06
"Ipueiras","TO",88.9,0,52.72,12.87
"Banabuiú","CE",81.8,18.2,50.46,31.09
"Simões Filho","BA",94.7,0,49.14,12.91
"Tapauá","AM",90.9,9.1,52.81,22.03
"Duque Bacelar","MA",88.9,0,50.55,12.98
"Jaqueira","PE",77.8,22.2,49.6,35.2
"Senhor do Bonfim","BA",93.3,13.3,48.4,26.31
"Nordestina","BA",100,11.1,51.79,24.11
"Miguel Leão","PI",66.7,0,52.43,13.01
"Pindorama do Tocantins","TO",88.9,11.1,52.93,24.12
"Monção","MA",92.3,0,51.01,13.03
