"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"Cantanhede","MA",81.8,54.5,50.15,12.36
"Miguel Pereira","RJ",90.9,90.9,47.56,48.77
"Valença","RJ",83.3,91.7,47.95,49.6
"Inúbia Paulista","SP",66.7,100,50.17,57.91
"Cachoeiras de Macacu","RJ",100,84.6,49.86,42.52
"Pirajuba","MG",77.8,100,54.66,58.05
"Abadiânia","GO",81.8,81.8,51.34,39.85
"Valença do Piauí","PI",72.7,63.6,47.12,21.73
"Luís Antônio","SP",100,100,51.67,58.13
"Porto Rico","PR",88.9,88.9,50.75,47.04
"Bonito","PE",92.3,84.6,49.45,42.77
"Venturosa","PE",100,81.8,48.97,40
"Itapetim","PE",77.8,88.9,49.35,47.12
"Coimbra","MG",88.9,100,50.28,58.24
"Comendador Levy Gasparian","RJ",66.7,77.8,49.83,36.04
"Jaguapitã","PR",88.9,100,49.97,58.26
"Argirita","MG",100,88.9,51.19,47.19
"Ervália","MG",81.8,90.9,50.09,49.19
"São Félix do Xingu","PA",80,66.7,53.31,25.01
"Casimiro de Abreu","RJ",100,88.9,49.29,47.24
"Honório Serpa","PR",100,100,51.92,58.34
"Nova Maringá","MT",100,77.8,54.61,36.16
"Piranga","MG",100,72.7,50.19,31.07
"Nova Bandeirantes","MT",88.9,88.9,54.78,47.29
"Umarizal","RN",77.8,88.9,49.05,47.33
"Monte Alegre de Minas","MG",90.9,100,51.24,58.46
"Lontra","MG",100,77.8,52.04,36.3
"São João do Ivaí","PR",100,100,49.27,58.55
"São Félix do Araguaia","MT",66.7,66.7,52.35,25.3
"Nioaque","MS",88.9,77.8,52.44,36.41
"Flexeiras","AL",77.8,66.7,50.56,25.37
"Nossa Senhora dos Remédios","PI",100,55.6,49.68,14.28
"Entre Rios de Minas","MG",88.9,100,49.63,58.69
"Altamira","PA",80,66.7,50.28,25.53
"Laje do Muriaé","RJ",100,77.8,50.1,36.72
"Catunda","CE",77.8,66.7,50.57,25.66
"Bela Vista de Goiás","GO",90.9,90.9,51.36,49.93
"Santa Cecília do Pavão","PR",88.9,100,49.48,59.05
"Luzilândia","PI",81.8,63.6,50.18,22.66
"Bento de Abreu","SP",77.8,88.9,51.01,47.98
"Tarumã","SP",88.9,100,51.09,59.13
"Nova Olímpia","PR",88.9,100,48.9,59.15
"Ouro Velho","PB",77.8,77.8,50.2,36.95
"Buritinópolis","GO",77.8,66.7,51.28,25.87
"Timbó Grande","SC",88.9,100,50.4,59.19
"Antônio João","MS",77.8,88.9,50.05,48.11
"Macaé","RJ",88.2,82.4,49.55,41.68
"Vila Propício","GO",88.9,66.7,52.26,25.99
"Salmourão","SP",88.9,88.9,51.41,48.22
"Guará","SP",72.7,90.9,49.77,50.22
"Monte Horebe","PB",100,77.8,50.18,37.13
"Indianópolis","MG",88.9,88.9,52.2,48.24
"Parnaguá","PI",100,55.6,53.12,15.02
"Ibitirama","ES",100,100,51.9,59.52
"Redentora","RS",88.9,88.9,50.97,48.44
"Inhapim","MG",81.8,81.8,49.93,41.34
"Porto Real","RJ",81.8,81.8,49.67,41.38
"Monte Alegre","PA",80,60,51.4,19.63
"Iracema do Oeste","PR",88.9,100,51.2,59.66
"Cabo Frio","RJ",88.2,88.2,48.77,47.87
"Pugmil","TO",66.7,66.7,53.06,26.38
"Vargem Grande Paulista","SP",100,100,49.64,59.71
"General Carneiro","PR",88.9,100,50.46,59.76
"Caldazinha","GO",77.8,88.9,50.8,48.69
"Matias Barbosa","MG",77.8,88.9,49.81,48.73
"Ipuaçu","SC",77.8,77.8,51.09,37.72
"Picuí","PB",81.8,81.8,49.13,41.75
"Cacimbinhas","AL",77.8,66.7,49.51,26.66
"Minador do Negrão","AL",100,66.7,49.59,26.73
"São José do Calçado","ES",55.6,88.9,49.91,48.94
"Vertente do Lério","PE",88.9,88.9,49.12,48.99
"Vera Cruz","SP",88.9,100,49.2,60.09
"Pratinha","MG",100,100,52.04,60.12
"Alfredo Vasconcelos","MG",88.9,100,51.19,60.12
"Tapira","MG",100,100,53.84,60.14
"Bom Sucesso","PR",88.9,88.9,49.18,49.06
"Guaraciaba","MG",88.9,66.7,50.61,26.88
"Serra Redonda","PB",100,77.8,47.65,38
"Palestina de Goiás","GO",77.8,88.9,52.68,49.12
"Rio Quente","GO",100,88.9,52.32,49.15
"Campo Belo","MG",86.7,100,48.78,60.28
"Gonçalves Dias","MA",90.9,63.6,49.63,23.9
"Lagoa Santa","GO",77.8,88.9,51.28,49.2
"Santana dos Garrotes","PB",88.9,77.8,48.33,38.1
"Passabém","MG",77.8,66.7,48.98,27.07
"Florestópolis","PR",88.9,88.9,50.68,49.31
"Uirapuru","GO",88.9,66.7,51.99,27.14
"Costa Rica","MS",81.8,90.9,52.02,51.37
"Camamu","BA",100,53.8,50.88,14.31
"Vargem Bonita","MG",88.9,100,52.94,60.66
"Palmeira do Piauí","PI",88.9,66.7,51.49,27.38
"Cajapió","MA",72.7,54.5,50.65,15.18
"Governador Archer","MA",88.9,55.6,49.64,16.29
"Senador Firmino","MG",88.9,100,50.53,60.69
"Água Comprida","MG",77.8,100,52.99,60.69
"Curral de Cima","PB",100,66.7,50.53,27.41
"Itaguaru","GO",77.8,66.7,50.43,27.44
"Cabreúva","SP",66.7,100,50.67,60.81
"Cajueiro da Praia","PI",77.8,66.7,52.24,27.52
"São Fidélis","RJ",100,100,48.99,60.84
"Santa Mariana","PR",77.8,100,49.63,60.84
"Santa Carmem","MT",44.4,88.9,52.56,49.82
"Mercês","MG",100,100,49.73,61.02
"Timbaúba dos Batistas","RN",55.6,88.9,49.89,49.93
"Caracol","MS",88.9,88.9,51.2,49.94
"Douradina","MS",88.9,88.9,50.75,49.98
"Ouro Verde","SP",100,88.9,49.56,49.99
"Carutapera","MA",100,55.6,51.52,16.7
"Carnaubal","CE",100,81.8,49.84,42.93
"Nova Europa","SP",44.4,100,49.99,61.2
"São José da Coroa Grande","PE",90.9,63.6,48.77,24.82
"Itapipoca","CE",88.2,64.7,50.18,25.96
"Nova Aliança do Ivaí","PR",88.9,88.9,50.17,50.17
"Caarapó","MS",90.9,81.8,50.13,43.08
"Benjamin Constant do Sul","RS",100,88.9,51.8,50.2
"Piraúba","MG",77.8,88.9,50.07,50.23
"Diamante d'Oeste","PR",88.9,88.9,51.12,50.25
"Rio Casca","MG",88.9,66.7,48.22,28.06
"Itabaianinha","SE",61.5,69.2,49.8,30.56
"Presidente Juscelino","MG",100,55.6,51.07,16.97
"São Miguel do Anta","MG",66.7,77.8,50.83,39.2
"Coelho Neto","MA",84.6,53.8,49.2,15.23
"São Francisco do Pará","PA",88.9,55.6,51.63,17.16
"Poções","BA",92.3,69.2,48.68,30.8
"Boa Esperança","PR",88.9,100,49.91,61.6
"Rialma","GO",66.7,77.8,49.79,39.4
"Engenho Velho","RS",66.7,100,48.59,61.69
"Braúna","SP",88.9,100,50.83,61.74
"Fênix","PR",88.9,88.9,49.94,50.65
"Matinha","MA",72.7,54.5,50.39,16.32
"Esperança Nova","PR",88.9,100,49.8,61.83
"Reserva","PR",90.9,100,51.35,61.9
"Mandaguaçu","PR",100,100,49.81,61.92
"Porto Alegre do Norte","MT",100,66.7,53.38,28.63
"Ourizona","PR",44.4,100,50.44,61.95
"Cícero Dantas","BA",84.6,76.9,49.1,38.87
"Lucrécia","RN",66.7,88.9,50.34,50.89
"Muniz Ferreira","BA",77.8,55.6,50.31,17.63
"Francisco Sá","MG",90.9,63.6,51.95,25.75
"Santa Maria do Oeste","PR",77.8,100,51.42,62.2
"Rio das Flores","RJ",100,77.8,49.19,40.03
"São José das Palmeiras","PR",100,88.9,50.29,51.15
"Caravelas","BA",81.8,54.5,50.78,16.76
"Ituiutaba","MG",94.1,94.1,49.26,56.4
"Amaporã","PR",88.9,77.8,50.65,40.11
"Aporá","BA",90.9,63.6,50.54,25.92
"Bela Vista do Paraíso","PR",77.8,100,48.52,62.33
"Tanguá","RJ",92.3,69.2,49.75,31.55
"Congonhas do Norte","MG",88.9,55.6,50.21,17.96
"Itacuruba","PE",88.9,55.6,48.87,17.97
"Nipoã","SP",77.8,100,52.92,62.38
"Ferros","MG",77.8,66.7,49.78,29.1
"Cafeara","PR",100,100,51.06,62.41
"Pajeú do Piauí","PI",88.9,55.6,51.86,18.08
"Manfrinópolis","PR",100,100,53.73,62.55
"Suzanápolis","SP",100,88.9,51.67,51.46
"Alvinópolis","MG",90.9,72.7,49.37,35.29
"Marabá Paulista","SP",88.9,77.8,63.34,40.4
"Conselheiro Mairinck","PR",100,100,50.58,62.62
"Campina da Lagoa","PR",55.6,100,49.68,62.62
"Rondon","PR",88.9,100,50.73,62.64
"Japaraíba","MG",77.8,100,51.08,62.71
"Itaverava","MG",77.8,77.8,51.34,40.51
"Cruzmaltina","PR",88.9,100,51.71,62.75
"Firminópolis","GO",100,88.9,49.23,51.66
"Batalha","AL",100,63.6,49.11,26.36
"Cachoeira de Goiás","GO",77.8,77.8,51.59,40.58
"Pocrane","MG",66.7,77.8,50.24,40.59
"Itanhomi","MG",77.8,77.8,48.91,40.6
"Irapuru","SP",88.9,88.9,58.18,51.74
"Colorado","PR",88.9,100,49.42,62.84
"Sucupira do Riachão","MA",77.8,55.6,51.42,18.45
